Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	-0.1396	-0.0107	0.9736	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.62	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.201	-108.864	23.6	-884	-430	-3514	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.201	-108.864	23.62	-883	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9722	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-884	-431	-3517	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.6	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.59	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9736	0.0	0.0	0.0	-0.225	8.201	-108.864	23.61	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.61	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0098	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.64	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1387	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.64	-884	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1387	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.61	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0098	0.9722	0.0	0.0	0.0	-0.225	8.201	-108.864	23.65	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.63	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1406	-0.0103	0.9736	0.0	0.0	0.0	-0.225	8.201	-108.864	23.62	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.201	-108.864	23.61	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9722	0.0	0.0	0.0	-0.225	8.201	-108.864	23.6	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.64	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.62	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.63	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.196	-108.864	23.61	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1406	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.65	-885	-430	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0103	0.9736	0.0	0.0	0.0	-0.225	8.196	-108.864	23.65	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9736	0.0	0.0	0.0	-0.225	8.196	-108.864	23.65	-884	-430	-3516	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.64	-884	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.59	-885	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.65	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.65	-885	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.64	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.62	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1382	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.196	-108.864	23.6	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.62	-885	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.196	-108.864	23.62	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.19	-108.864	23.6	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0112	0.9722	0.0	0.0	0.0	-0.225	8.196	-108.864	23.6	-886	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.61	-886	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1382	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.196	-108.864	23.61	-886	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9727	0.0	0.0	0.0	-0.225	8.19	-108.864	23.63	-886	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1387	-0.0112	0.9731	0.0	0.0	0.0	-0.225	8.19	-108.864	23.61	-885	-430	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0107	0.9736	0.0	0.0	0.0	-0.225	8.19	-108.864	23.63	-885	-430	-3516	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0103	0.9741	0.0	0.0	0.0	-0.225	8.19	-108.864	23.63	-885	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9727	-0.061	-0.1221	0.0	-0.225	8.185	-108.864	23.66	-885	-431	-3517	None	None	None	None	None	None	None	None
